우편번호|시도|시도영문|시군구|시군구영문|읍면|읍면영문|도로명코드|도로명|도로명영문|지하여부|건물번호본번|건물번호부번|건물관리번호|다량배달처명|시군구용건물명|법정동코드|법정동명|리명|행정동명|산여부|지번본번|읍면동일련번호|지번부번|구우편번호|우편번호일련번호
30101|세종특별자치시|Sejong-si|||||361104857896|고운한옥4길|Gounhanok 4-gil|0|11|0|3611011200201950001000003|||3611011200|고운동||고운동|1|195|01|1||
30101|세종특별자치시|Sejong-si|||||361104857895|고운한옥3길|Gounhanok 3-gil|0|19|0|3611011200201960000000001|||3611011200|고운동||고운동|1|196|01|0||
30101|세종특별자치시|Sejong-si|||||361104857896|고운한옥4길|Gounhanok 4-gil|0|10|0|3611011200201950001000002|||3611011200|고운동||고운동|1|195|01|1||
30063|세종특별자치시|Sejong-si|||||361104574746|만남로1길|Mannam-ro 1-gil|0|30|0|3611011200118360000000001|||3611011200|고운동||고운동|0|1836|01|0||
30063|세종특별자치시|Sejong-si|||||361104853202|고운서2길|Gounseo 2-gil|0|52|0|3611011200116200000000001|||3611011200|고운동||고운동|0|1620|01|0||
30063|세종특별자치시|Sejong-si|||||361103258107|만남1북로|Mannam1buk-ro|0|94|0|3611011200114550000000001|||3611011200|고운동||고운동|0|1455|01|0||
30063|세종특별자치시|Sejong-si|||||361103258107|만남1북로|Mannam1buk-ro|0|117|0|3611011200114970000000001|||3611011200|고운동||고운동|0|1497|01|0||
30062|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|238|0|3611011200111570000000001|||3611011200|고운동||고운동|0|1157|01|0||
30063|세종특별자치시|Sejong-si|||||361104853204|고운서4길|Gounseo 4-gil|0|26|0|3611011200116900000000001|||3611011200|고운동||고운동|0|1690|01|0||
30063|세종특별자치시|Sejong-si|||||361104574741|만남로4길|Mannam-ro 4-gil|0|69|0|3611011200119740000000001|||3611011200|고운동||고운동|0|1974|01|0||
30063|세종특별자치시|Sejong-si|||||361103258105|만남로|Mannam-ro|0|8|0|3611011200202390000000008|||3611011200|고운동||고운동|0|2005|01|0||
30063|세종특별자치시|Sejong-si|||||361103258105|만남로|Mannam-ro|0|14|0|3611011200202390000000010|||3611011200|고운동||고운동|0|1914|01|0||
30063|세종특별자치시|Sejong-si|||||361103258105|만남로|Mannam-ro|0|15|0|3611011200202390000000009|||3611011200|고운동||고운동|0|1814|01|0||
30062|세종특별자치시|Sejong-si|||||361104853209|고운북6길|Gounbuk 6-gil|0|59|0|3611011200201110000000001|||3611011200|고운동||고운동|0|1059|01|0||
30063|세종특별자치시|Sejong-si|||||361104574741|만남로4길|Mannam-ro 4-gil|0|75|0|3611011200202390000000006|||3611011200|고운동||고운동|0|1970|01|0||
30063|세종특별자치시|Sejong-si|||||361103258105|만남로|Mannam-ro|0|10|0|3611011200202390000000005|||3611011200|고운동||고운동|0|2002|01|0||
30062|세종특별자치시|Sejong-si|||||361103000231|정안세종로|Jeongansejong-ro|0|1482|50|3611011200105820001000001|||3611011200|고운동||고운동|0|819|02|0||
30062|세종특별자치시|Sejong-si|||||361104853205|고운북1길|Gounbuk 1-gil|0|9|0|3611011200113270000000001|||3611011200|고운동||고운동|0|1327|01|0||
30062|세종특별자치시|Sejong-si|||||361104853208|고운북4길|Gounbuk 4-gil|0|13|0|3611011200111740000000001|||3611011200|고운동||고운동|0|1174|01|0||
30063|세종특별자치시|Sejong-si|||||361104705344|만남로2길|Mannam-ro 2-gil|0|9|0|3611011200119820000000001|||3611011200|고운동||고운동|0|1982|01|0||
30063|세종특별자치시|Sejong-si|||||361104853204|고운서4길|Gounseo 4-gil|0|41|0|3611011200116630000000001|||3611011200|고운동||고운동|0|1663|01|0||
